,title,runtime,primary_name,studio,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,month,roi,genre
19,Foodfight!,91.0,Lawrence Kasanoff,,4.705,2.1,46.0,"Dec 31, 2012",45000000.0,73706.0,12.0,-0.9983620888888889,Family Animation Comedy Action
32,Mortal Kombat,,Simon McQuoid,,,,,"Aug 18, 1995",20000000.0,122133227.0,8.0,5.10666135,Fantasy Adventure Action
39,The Overnight,88.0,Jed I. Goodman,,6.5760000000000005,6.0,200.0,"Jun 19, 2015",200000.0,1165996.0,6.0,4.82998,Mystery Comedy
49,On the Road,124.0,Walter Salles,IFC,8.919,5.6,518.0,"Mar 22, 2013",25000000.0,9313302.0,3.0,-0.62746792,Romance Drama Adventure
61,The Secret Life of Walter Mitty,114.0,Ben Stiller,Fox,10.743,7.1,4859.0,"Dec 25, 2013",91000000.0,187861183.0,12.0,1.0644086043956045,Fantasy Comedy Drama Adventure
65,A Walk Among the Tombstones,114.0,Scott Frank,Uni.,19.373,6.3,1685.0,"Sep 19, 2014",28000000.0,62108587.0,9.0,1.2181638214285715,Action Drama Crime Mystery Thriller
67,Jurassic World,124.0,Colin Trevorrow,Uni.,20.709,6.6,14056.0,"Jun 12, 2015",215000000.0,1648854864.0,6.0,6.669092390697674,Thriller Adventure Sci-Fi Action
72,The Rum Diary,119.0,Bruce Robinson,FD,12.011,5.7,652.0,"Oct 28, 2011",45000000.0,21544732.0,10.0,-0.5212281777777777,Drama Comedy
82,John Carter,132.0,Andrew Stanton,BV,18.549,6.1,3338.0,"Mar 9, 2012",275000000.0,282778100.0,3.0,0.028284,Adventure Sci-Fi Action
84,Action Jackson,144.0,Prabhu Deva,,6.744,5.2,81.0,"Feb 12, 1988",7000000.0,20257000.0,2.0,1.893857142857143,Action Drama Comedy Crime Thriller Adventure
103,Dinner for Schmucks,114.0,Jay Roach,P/DW,6.632000000000001,5.6,920.0,"Jul 30, 2010",69000000.0,86796502.0,7.0,0.2579203188405797,Comedy
105,The A-Team,117.0,Joe Carnahan,Fox,17.097,6.3,2703.0,"Jun 11, 2010",110000000.0,177241171.0,6.0,0.6112833727272727,Action Comedy Crime Thriller Adventure
107,The Possession,92.0,Ole Bornedal,LGF,8.978,5.9,918.0,"Aug 31, 2012",14000000.0,82925064.0,8.0,4.9232188571428575,Mystery Horror Thriller
109,Real Steel,127.0,Shawn Levy,BV,14.811,6.8,4566.0,"Oct 7, 2011",110000000.0,263880341.0,10.0,1.398912190909091,Drama Family Sci-Fi Action
113,The Giver,97.0,Phillip Noyce,Wein.,8.687000000000001,6.5,3075.0,"Aug 15, 2014",25000000.0,66540205.0,8.0,1.6616082,Romance Drama Sci-Fi
114,Toy Story 3,103.0,Lee Unkrich,BV,24.445,7.7,8340.0,"Jun 18, 2010",200000000.0,1068879522.0,6.0,4.34439761,Family Animation Adventure Comedy
116,Alita: Battle Angel,122.0,Robert Rodriguez,,,,,"Feb 14, 2019",170000000.0,402976036.0,2.0,1.3704472705882353,Adventure Sci-Fi Action
122,Lincoln,150.0,Steven Spielberg,BV,12.693,6.8,2261.0,"Nov 9, 2012",65000000.0,273346281.0,11.0,3.2053274,Biography Drama History
125,Before We Go,95.0,Chris Evans,RTWC,8.232999999999999,6.5,985.0,"Sep 4, 2015",3000000.0,483938.0,9.0,-0.8386873333333333,Romance Drama Comedy
127,The History of Love,134.0,Radu Mihaileanu,,,,,"Nov 18, 2016",20000000.0,476624.0,11.0,-0.9761688,Romance War Drama
138,Shazam!,132.0,David F. Sandberg,,,,,"Apr 5, 2019",85000000.0,362899733.0,4.0,3.269408623529412,Comedy Adventure Action
139,Puss in Boots,90.0,Chris Miller,P/DW,9.078,6.3,1422.0,"Oct 28, 2011",130000000.0,554987477.0,10.0,3.2691344384615384,Animation Action Comedy Adventure Fantasy Family
153,Wonder Woman,141.0,Patty Jenkins,WB,2.841,5.9,34.0,"Jun 2, 2017",150000000.0,821133378.0,6.0,4.47422252,Fantasy Adventure Action
158,42,128.0,Brian Helgeland,,11.28,7.0,1028.0,"Apr 12, 2013",31000000.0,97470701.0,4.0,2.1442161612903226,Sport Biography Drama
160,Life of Pi,127.0,Ang Lee,Fox,15.0,7.3,8723.0,"Nov 21, 2012",120000000.0,620912003.0,11.0,4.174266691666666,Fantasy Drama Adventure Action
162,The Crazies,101.0,Breck Eisner,Over.,12.245999999999999,6.2,1036.0,"Feb 26, 2010",19000000.0,56445534.0,2.0,1.9708175789473685,Mystery Horror Thriller Action
163,The Equalizer,132.0,Antoine Fuqua,Sony,28.941999999999997,7.2,4989.0,"Sep 26, 2014",55000000.0,192903624.0,9.0,2.507338618181818,Crime Thriller Action
165,Captain America: The First Avenger,124.0,Joe Johnston,Par.,25.808000000000003,6.9,12810.0,"Jul 22, 2011",140000000.0,370569776.0,7.0,1.6469269714285715,Adventure Sci-Fi Action
182,Piranha 3D,88.0,Alexandre Aja,W/Dim.,11.302,5.3,1029.0,"Aug 20, 2010",24000000.0,83660160.0,8.0,2.48584,Horror Comedy
188,Margaret,150.0,Kenneth Lonergan,FoxS,8.747,6.3,138.0,"Sep 30, 2011",14000000.0,623292.0,9.0,-0.9554791428571429,Drama
193,Ex Machina,108.0,Alex Garland,A24,18.485,7.6,8026.0,"Apr 10, 2015",13000000.0,38358392.0,4.0,1.9506455384615384,Mystery Drama Sci-Fi
195,Tower Heist,104.0,Brett Ratner,Uni.,12.213,6.0,1592.0,"Nov 4, 2011",85000000.0,150422946.0,11.0,0.7696817176470588,Crime Comedy Action
196,The Smurfs,103.0,Raja Gosnell,Sony,16.533,5.6,2112.0,"Jul 29, 2011",110000000.0,563749323.0,7.0,4.124993845454545,Animation Comedy Adventure Fantasy Family
197,The Mechanic,93.0,Simon West,CBS,14.387,6.3,1676.0,"Jan 28, 2011",42500000.0,76347393.0,1.0,0.7964092470588235,Crime Thriller Action
208,Unstoppable,98.0,Tony Scott,Fox,14.01,6.4,1913.0,"Nov 12, 2010",95000000.0,165720921.0,11.0,0.7444307473684211,Thriller Action
221,The Tree of Life,139.0,Terrence Malick,FoxS,11.569,6.6,1730.0,"May 27, 2011",35000000.0,61721826.0,5.0,0.7634807428571428,Fantasy Drama
224,Ant-Man,117.0,Peyton Reed,BV,32.715,7.1,11949.0,"Jul 17, 2015",130000000.0,518858449.0,7.0,2.9912188384615384,Comedy Adventure Sci-Fi Action
228,Season of the Witch,95.0,Dominic Sena,Rela.,12.535,5.3,1352.0,"Jan 7, 2011",40000000.0,91126600.0,1.0,1.278165,Fantasy Adventure Action
230,The Losers,97.0,Sylvain White,WB,10.202,6.2,844.0,"Apr 23, 2010",25000000.0,29863840.0,4.0,0.1945536,Action Crime Mystery Thriller Adventure
243,Red Tails,125.0,Anthony Hemingway,Fox,10.247,6.0,256.0,"Jan 20, 2012",58000000.0,50365498.0,1.0,-0.1316293448275862,Action Drama History War Adventure
281,Silence,161.0,Martin Scorsese,,10.617,7.1,1560.0,"Dec 23, 2016",46500000.0,23726626.0,12.0,-0.48974997849462365,History Drama Adventure
304,Something Borrowed,112.0,Luke Greenfield,WB,7.567,6.1,591.0,"May 6, 2011",35000000.0,65084116.0,5.0,0.8595461714285715,Romance Drama Comedy
307,Tulip Fever,105.0,Justin Chadwick,Wein.,9.89,6.4,307.0,"Sep 1, 2017",25000000.0,6792768.0,9.0,-0.72828928,Romance Drama History
308,Furry Vengeance,92.0,Roger Kumble,Sum.,9.45,4.6,283.0,"Apr 30, 2010",35000000.0,39340177.0,4.0,0.12400505714285714,Family Comedy
317,Ramona and Beezus,103.0,Elizabeth Allen Rosenbaum,Fox,7.442,6.3,460.0,"Jul 23, 2010",15000000.0,27469621.0,7.0,0.8313080666666667,Family Comedy Adventure
327,Rings,102.0,F. Javier Gutiérrez,Par.,13.53,4.9,1785.0,"Feb 3, 2017",25000000.0,82917283.0,2.0,2.31669132,Mystery Horror Drama
334,A Thousand Words,91.0,Brian Robbins,P/DW,8.017000000000001,6.1,685.0,"Mar 9, 2012",40000000.0,20790486.0,3.0,-0.48023785,Drama Comedy
342,What's Your Number?,106.0,Mark Mylod,Fox,10.390999999999998,6.4,1271.0,"Sep 30, 2011",20000000.0,30163785.0,9.0,0.50818925,Romance Comedy
345,Samsara,102.0,Ron Fricke,Osci.,6.015,8.2,276.0,"Aug 24, 2012",4000000.0,5966671.0,8.0,0.49166775,Documentary Drama Musical
347,Man of Steel,143.0,Zack Snyder,WB,27.666999999999998,6.5,9758.0,"Jun 14, 2013",225000000.0,667999518.0,6.0,1.9688867466666666,Fantasy Adventure Sci-Fi Action
352,The Illusionist,80.0,Sylvain Chomet,,8.404,7.4,280.0,"Aug 18, 2006",16500000.0,83792062.0,8.0,4.0783067878787875,Animation Drama
356,Drive,100.0,Nicolas Winding Refn,,15.875,7.5,6737.0,"Sep 16, 2011",15000000.0,81357930.0,9.0,4.423862,Crime Thriller Drama Action
361,The Wolfman,103.0,Joe Johnston,Uni.,14.03,5.7,1009.0,"Feb 12, 2010",150000000.0,142634358.0,2.0,-0.04910428,Fantasy Horror Drama
366,The Man Who Knew Infinity,108.0,Matt Brown,IFC,8.76,7.2,699.0,"Apr 29, 2016",10000000.0,12382122.0,4.0,0.2382122,Biography Drama
367,The Incredible Burt Wonderstone,100.0,Don Scardino,WB (NL),9.362,5.4,920.0,"Mar 15, 2013",32000000.0,27392609.0,3.0,-0.14398096875,Comedy Fantasy Adventure
368,Dallas Buyers Club,117.0,Jean-Marc Vallée,Focus,12.389000000000001,7.9,4961.0,"Nov 1, 2013",5000000.0,60611845.0,11.0,11.122369,Biography Drama History
372,Jack Reacher,130.0,Christopher McQuarrie,Par.,18.312,6.4,4155.0,"Dec 21, 2012",60000000.0,217370736.0,12.0,2.6228456,Crime Thriller Drama Action
373,R.I.P.D.,96.0,Robert Schwentke,Uni.,21.377,5.6,2047.0,"Jul 19, 2013",130000000.0,79076678.0,7.0,-0.39171786153846155,Action Comedy Crime Fantasy Adventure
391,Clash of the Titans,106.0,Louis Leterrier,,15.574000000000002,5.7,3714.0,"Apr 1, 2010",125000000.0,493214888.0,4.0,2.945719104,Fantasy Adventure Action
394,Nemesis,83.0,Nicole Mosleh,,,,,"Jan 29, 1993",2000000.0,2001124.0,1.0,0.000562,Drama
397,Thor,115.0,Kenneth Branagh,Par.,38.068000000000005,6.7,12764.0,"May 6, 2011",150000000.0,449326618.0,5.0,1.9955107866666666,Fantasy Adventure Action
398,Red Dog,92.0,Kriv Stenders,,,,,"Dec 31, 2011",9100000.0,20927794.0,12.0,1.2997575824175824,Biography Drama Comedy
401,Warcraft,123.0,Duncan Jones,Uni.,21.464000000000002,6.3,4071.0,"Jun 10, 2016",160000000.0,425522281.0,6.0,1.65951425625,Fantasy Adventure Action
405,Tooth Fairy,101.0,Michael Lembeck,Fox,12.65,5.3,1058.0,"Jan 22, 2010",48000000.0,112610386.0,1.0,1.3460497083333334,Family Fantasy Comedy
411,Jack and Jill,91.0,Dennis Dugan,Sony,11.277000000000001,4.1,1124.0,"Nov 11, 2011",79000000.0,150519217.0,11.0,0.9053065443037974,Comedy
412,Take Me Home Tonight,97.0,Michael Dowse,Rela.,11.321,6.1,339.0,"Mar 4, 2011",19000000.0,7576604.0,3.0,-0.6012313684210526,Romance Drama Comedy
416,Percy Jackson & the Olympians: The Lightning Thief,118.0,Chris Columbus,,26.691,6.1,4229.0,"Feb 12, 2010",95000000.0,223050874.0,2.0,1.3479039368421053,Family Fantasy Adventure
433,She's Out of My League,104.0,Jim Field Smith,Par.,7.775,6.1,970.0,"Mar 12, 2010",20000000.0,48680977.0,3.0,1.43404885,Romance Comedy
435,The Book Thief,131.0,Brian Percival,Fox,9.033999999999999,7.5,2788.0,"Nov 8, 2013",19000000.0,76086711.0,11.0,3.004563736842105,War Drama
436,Conan the Barbarian,113.0,Marcus Nispel,,17.046,5.2,1024.0,"Aug 19, 2011",90000000.0,63356133.0,8.0,-0.2960429666666667,Fantasy Adventure Action
439,Interstellar,169.0,Christopher Nolan,Par.,28.44,8.2,18597.0,"Nov 5, 2014",165000000.0,666379375.0,11.0,3.038662878787879,Drama Adventure Sci-Fi
440,World War Z,116.0,Marc Forster,Par.,14.582,6.7,9132.0,"Jun 21, 2013",190000000.0,531514650.0,6.0,1.7974455263157896,Action Horror Drama Sci-Fi Thriller Adventure
441,Flipped,90.0,Rob Reiner,WB,9.781,7.4,859.0,"Aug 6, 2010",14000000.0,4289993.0,8.0,-0.6935719285714286,Romance Drama Comedy
445,Valentine's Day,125.0,Garry Marshall,WB (NL),11.187000000000001,5.8,1907.0,"Feb 12, 2010",52000000.0,217569328.0,2.0,3.1840255384615386,Romance Comedy
450,Priest,87.0,Scott Stewart,SGem,15.318,5.5,1157.0,"May 13, 2011",60000000.0,84154026.0,5.0,0.4025671,Horror Fantasy Adventure Action
460,Dracula Untold,92.0,Gary Shore,Uni.,29.043000000000003,6.2,3719.0,"Oct 10, 2014",70000000.0,220241723.0,10.0,2.1463103285714284,Action Horror Drama War Fantasy
463,Godzilla,123.0,Gareth Edwards,,24.982,6.1,5053.0,"May 16, 2014",160000000.0,529076069.0,5.0,2.30672543125,Drama Adventure Sci-Fi Action
473,Hotel Transylvania,91.0,Genndy Tartakovsky,Sony,15.318,6.9,5013.0,"Sep 28, 2012",85000000.0,378505812.0,9.0,3.4530095529411766,Family Animation Fantasy Comedy
476,The Town,125.0,Ben Affleck,WB,13.475999999999999,7.1,2386.0,"Sep 17, 2010",37000000.0,152566881.0,9.0,3.1234292162162163,Crime Thriller Drama
480,The Kids Are All Right,106.0,Lisa Cholodenko,Focus,8.426,6.6,854.0,"Jul 9, 2010",4000000.0,36275469.0,7.0,8.06886725,Romance Drama Comedy
490,The Avengers,143.0,Joss Whedon,,50.288999999999994,7.6,19673.0,"May 4, 2012",225000000.0,1517935897.0,5.0,5.746381764444444,Adventure Sci-Fi Action
492,Epic,102.0,Chris Wedge,Fox,13.995,6.4,1670.0,"May 24, 2013",100000000.0,262794441.0,5.0,1.62794441,Family Animation Fantasy Adventure
497,Risen,121.0,Neil Jones,Sony,10.089,5.8,433.0,"Feb 19, 2016",20000000.0,46255763.0,2.0,1.31278815,Biography Drama History
505,The Sweeney,112.0,Nick Love,EOne,6.4,5.9,142.0,"Mar 1, 2013",4500000.0,8000366.0,3.0,0.7778591111111111,Crime Drama Action
513,Mr. Peabody & Sherman,92.0,Rob Minkoff,Fox,12.812999999999999,6.6,1357.0,"Mar 7, 2014",145000000.0,269806430.0,3.0,0.860734,Family Animation Adventure Comedy
523,My Soul to Take,107.0,Wes Craven,Uni.,9.808,5.4,247.0,"Oct 8, 2010",25000000.0,16727470.0,10.0,-0.3309012,Mystery Horror Thriller Drama
524,Red State,88.0,Kevin Smith,SMod,7.816,6.1,472.0,"Sep 23, 2011",4000000.0,1983596.0,9.0,-0.504101,Crime Horror Thriller Action
536,Please Give,87.0,Nicole Holofcener,SPC,5.945,6.3,81.0,"Apr 30, 2010",3000000.0,4570178.0,4.0,0.5233926666666666,Drama Comedy
548,Eat Pray Love,133.0,Ryan Murphy,Sony,9.991,6.0,1208.0,"Aug 13, 2010",60000000.0,206598789.0,8.0,2.44331315,Romance Drama
550,Sanctum,108.0,Alister Grierson,Uni.,7.457000000000001,5.9,515.0,"Feb 4, 2011",30000000.0,108957098.0,2.0,2.631903266666667,Thriller Drama Adventure Action
552,Snitch,112.0,Ric Roman Waugh,LG/S,0.6,1.0,1.0,"Feb 22, 2013",15000000.0,57907734.0,2.0,2.8605156,Thriller Drama Action
558,The Wedding Ringer,101.0,Jeremy Garelick,SGem,15.876,6.5,961.0,"Jan 16, 2015",23000000.0,80171596.0,1.0,2.4857215652173914,Comedy
564,Letters to Juliet,105.0,Gary Winick,Sum.,9.394,6.9,1706.0,"May 14, 2010",30000000.0,82148538.0,5.0,1.7382846,Romance Comedy Drama Adventure
565,Shrek Forever After,93.0,Mike Mitchell,P/DW,15.040999999999999,6.1,3843.0,"May 21, 2010",165000000.0,756244673.0,5.0,3.5833010484848486,Animation Comedy Adventure Fantasy Family
579,The Hobbit: An Unexpected Journey,169.0,Peter Jackson,WB (NL),26.939,7.2,12076.0,"Dec 14, 2012",250000000.0,1017003568.0,12.0,3.068014272,Family Fantasy Adventure Action
581,The Thing,103.0,Matthijs van Heijningen Jr.,,12.349,6.1,1404.0,"Oct 14, 2011",38000000.0,27573078.0,10.0,-0.2743926842105263,Mystery Horror Thriller Sci-Fi
600,The Legend of Tarzan,110.0,David Yates,WB,14.797,5.8,4102.0,"Jul 1, 2016",180000000.0,348902025.0,7.0,0.9383445833333334,Drama Adventure Action
614,Rabbit Hole,91.0,John Cameron Mitchell,LGF,9.389,6.8,292.0,"Dec 17, 2010",5000000.0,6205034.0,12.0,0.2410068,Drama
617,The Last Airbender,103.0,M. Night Shyamalan,Par.,16.595,4.6,2143.0,"Jul 1, 2010",150000000.0,319713881.0,7.0,1.1314258733333333,Family Fantasy Adventure Action
622,Salt,100.0,Phillip Noyce,Sony,13.025,6.3,3240.0,"Jul 23, 2010",130000000.0,290650494.0,7.0,1.2357730307692307,Mystery Thriller Action
624,Source Code,93.0,Duncan Jones,Sum.,13.495,7.2,4529.0,"Apr 1, 2011",32000000.0,140428499.0,4.0,3.38839059375,Action Drama Sci-Fi Mystery Thriller
625,Black Swan,108.0,Darren Aronofsky,FoxS,13.745,7.6,8374.0,"Dec 3, 2010",13000000.0,331266710.0,12.0,24.482054615384616,Thriller Drama
626,Green Zone,115.0,Paul Greengrass,Uni.,11.519,6.4,1176.0,"Mar 12, 2010",100000000.0,97523020.0,3.0,-0.0247698,Action Drama War Thriller Adventure
627,The Amazing Spider-Man,136.0,Marc Webb,Sony,24.391,6.5,10411.0,"Jul 3, 2012",220000000.0,757890267.0,7.0,2.444955759090909,Fantasy Adventure Sci-Fi Action
629,The Killer Inside Me,109.0,Michael Winterbottom,IFC,7.087000000000001,5.9,304.0,"Jun 18, 2010",13000000.0,3617277.0,6.0,-0.721747923076923,Crime Horror Drama Thriller
630,Robin Hood,140.0,Ridley Scott,Uni.,15.444,6.3,2569.0,"May 14, 2010",210000000.0,322459006.0,5.0,0.5355190761904762,Drama Adventure Action
676,The Sorcerer's Apprentice,109.0,Jon Turteltaub,BV,14.463,5.9,2879.0,"Jul 14, 2010",160000000.0,217986320.0,7.0,0.3624145,Action Drama Comedy Adventure Fantasy Family
677,The Fighter,116.0,David O. Russell,Par.,10.395,7.3,2325.0,"Dec 10, 2010",11000000.0,129262388.0,12.0,10.751126181818181,Sport Biography Drama
682,The Conspirator,122.0,Robert Redford,RAtt.,6.492999999999999,6.5,226.0,"Apr 15, 2011",25000000.0,15907411.0,4.0,-0.36370356,Crime Drama History
687,Hugo,126.0,Martin Scorsese,Par.,12.936,7.1,4124.0,"Nov 23, 2011",180000000.0,180047784.0,11.0,0.00026546666666666665,Family Drama Adventure
689,Little Fockers,98.0,Paul Weitz,Uni.,12.152999999999999,5.6,1883.0,"Dec 22, 2010",100000000.0,310650574.0,12.0,2.10650574,Romance Comedy
698,Justice League,120.0,Zack Snyder,WB,34.953,6.2,7510.0,"Nov 17, 2017",300000000.0,655945209.0,11.0,1.18648403,Fantasy Adventure Sci-Fi Action
705,Fair Game,108.0,Doug Liman,,11.624,6.6,384.0,"Nov 3, 1995",50000000.0,26097497.0,11.0,-0.47805006,Biography Drama Thriller
707,Sucker Punch,110.0,Zack Snyder,WB,14.415999999999999,6.0,2716.0,"Mar 25, 2011",75000000.0,89758389.0,3.0,0.19677852,Thriller Fantasy Adventure Action
709,Lottery Ticket,99.0,Erik White,,7.699,5.7,92.0,"Aug 20, 2010",17000000.0,24719879.0,8.0,0.4541105294117647,Comedy
710,The Chronicles of Narnia: The Voyage of the Dawn Treader,113.0,Michael Apted,Fox,17.382,6.3,3196.0,"Dec 10, 2010",155000000.0,418186950.0,12.0,1.6979803225806451,Family Fantasy Adventure
718,The Adventures of Tintin,107.0,Steven Spielberg,Par.,11.981,6.8,3251.0,"Dec 21, 2011",130000000.0,373993951.0,12.0,1.8768765461538461,Mystery Animation Adventure Action
727,Dear John,108.0,Lasse Hallström,SGem,12.048,6.8,2676.0,"Feb 5, 2010",25000000.0,142033509.0,2.0,4.68134036,Romance War Drama
736,The Green Hornet,119.0,Michel Gondry,Sony,14.501,5.5,1897.0,"Jan 14, 2011",110000000.0,229155503.0,1.0,1.0832318454545455,Crime Comedy Action
739,Hanna,111.0,Joe Wright,Focus,9.709,6.6,1944.0,"Apr 8, 2011",30000000.0,65343694.0,4.0,1.1781231333333333,Thriller Drama Adventure Action
740,The Wolf of Wall Street,180.0,Martin Scorsese,Par.,29.518,7.9,12411.0,"Dec 25, 2013",100000000.0,389870414.0,12.0,2.89870414,Crime Biography Drama Comedy
758,Straw Dogs,110.0,Rod Lurie,,8.749,5.7,255.0,"Sep 16, 2011",25000000.0,11253821.0,9.0,-0.54984716,Thriller Drama Action
872,"As Above, So Below",,Sarah Christman,,10.613,6.2,1321.0,"Aug 29, 2014",5000000.0,41824066.0,8.0,7.3648132,Documentary Horror Thriller
875,The Promise,,Edwine Dorival,,0.6,9.0,1.0,"Apr 21, 2017",90000000.0,10551417.0,4.0,-0.8827620333333334,Drama
899,Cinderella,150.0,Brad Dalton,,0.955,4.6,8.0,"Mar 13, 2015",95000000.0,534551353.0,3.0,4.626856347368421,Romance Comedy Musical
931,Megamind,95.0,Tom McGrath,P/DW,22.855,6.8,3635.0,"Nov 5, 2010",130000000.0,321887208.0,11.0,1.4760554461538462,Animation Action Comedy Sci-Fi Family
995,The Young Messiah,111.0,Cyrus Nowrasteh,Focus,5.531000000000001,6.1,50.0,"Mar 11, 2016",16800000.0,7313697.0,3.0,-0.5646608928571428,Fantasy Drama
1217,Snatched,11.0,Kevin Crouch,Fox,0.725,3.5,2.0,"May 12, 2017",42000000.0,57852177.0,5.0,0.37743278571428573,Drama Comedy
1248,The Iron Lady,105.0,Phyllida Lloyd,Wein.,8.987,6.4,899.0,"Jan 13, 2012",14000000.0,115592104.0,1.0,7.256578857142857,Biography Drama History
1257,The Game,,Rogger Vergara Adrianzén,,,,,"Sep 12, 1997",50000000.0,80369970.0,9.0,0.6073994,Horror
1286,The Little Prince,93.0,Zhang Lei,EOne,8.512,7.6,1493.0,"Feb 12, 2016",77500000.0,102028919.0,2.0,0.3165021806451613,Animation Action Adventure Fantasy Family
1427,Inferno,16.0,Patrick Fileti,Sony,17.41,5.9,3877.0,"Oct 28, 2016",75000000.0,219519367.0,10.0,1.9269248933333334,Mystery Documentary Thriller Drama
1465,Get Real,45.0,Darby Christensen,,,,,"Apr 30, 1999",2000000.0,1152411.0,4.0,-0.4237945,Drama
1488,Stranded,89.0,Ice Idanan,,6.563,3.6,73.0,"Jul 26, 2013",1900000.0,285593.0,7.0,-0.8496878947368421,Romance Horror Drama Sci-Fi
1582,Miracle,,Rudrapatla Venugopal,,,,,"Feb 6, 2004",28000000.0,64474705.0,2.0,1.3026680357142857,Thriller
1666,Believe,16.0,Nikita Sharma,ORF,1.327,5.9,12.0,"Dec 2, 2016",3500000.0,890303.0,12.0,-0.7456277142857143,Documentary Drama
1685,Kingdom Come,126.0,Rick DeYoung,,1.244,8.0,1.0,"Apr 11, 2001",7000000.0,23393939.0,4.0,2.3419912857142857,Documentary Comedy
1815,Knight and Day,109.0,James Mangold,,17.713,6.0,2494.0,"Jun 23, 2010",117000000.0,258751370.0,6.0,1.211550170940171,Comedy Adventure Action
1819,Dylan Dog: Dead of Night,107.0,Kevin Munroe,OMNI/FSR,7.507999999999999,4.4,243.0,"Apr 29, 2011",20000000.0,6093725.0,4.0,-0.69531375,Action Horror Comedy Crime Sci-Fi Mystery Thriller
1858,Alice in Wonderland,108.0,Tim Burton,,22.02,6.6,8713.0,"Mar 5, 2010",200000000.0,1025491110.0,3.0,4.12745555,Family Fantasy Adventure
1866,Child 44,137.0,Daniel Espinosa,LG/S,26.386,6.2,903.0,"Apr 17, 2015",50000000.0,8004221.0,4.0,-0.83991558,Crime Thriller Drama History
1931,The Sisterhood of Night,104.0,Caryn Waechter,,3.3139999999999996,6.4,51.0,"Apr 10, 2015",1000000.0,6870.0,4.0,-0.99313,Mystery Thriller Drama
2084,The Runaways,106.0,Floria Sigismondi,App.,8.19,6.4,448.0,"Mar 19, 2010",9500000.0,5278632.0,3.0,-0.4443545263157895,Biography Drama Musical
2288,Adam,98.0,Maryam Touzani,,,,,"Jul 29, 2009",3200000.0,2834485.0,7.0,-0.1142234375,Drama
2304,Selma,128.0,Ava DuVernay,Par.,9.541,7.5,1354.0,"Jan 9, 2015",20000000.0,66776576.0,1.0,2.3388288,Biography Drama History
2345,Centurion,97.0,Neil Marshall,Magn.,13.548,6.1,673.0,"Aug 27, 2010",15000000.0,7885048.0,8.0,-0.47433013333333335,Drama Adventure Action
2401,My Fair Lady,,Razvan Dinca,,,,,"Oct 22, 1964",17000000.0,72071636.0,10.0,3.239508,Musical
2409,Dark Blue,,Corey Piper,,,,,"Feb 21, 2003",15000000.0,12262065.0,2.0,-0.182529,Drama
2514,The Wild,65.0,Mark Titus,,,,,"Apr 14, 2006",80000000.0,99010667.0,4.0,0.2376333375,Documentary
2515,Brick,93.0,Wenjian Ding,,,,,"Mar 31, 2006",450000.0,4243996.0,3.0,8.431102222222222,Romance Drama Family
2686,Argo,120.0,Ben Affleck,WB,15.793,7.2,5127.0,"Oct 12, 2012",44500000.0,227140757.0,10.0,4.104286674157303,Biography Drama Thriller
2700,Underdogs,65.0,Téo Frank,,1.4,5.5,16.0,"Aug 16, 2013",2500000.0,1392649.0,8.0,-0.4429404,Sport Documentary Drama Family
2752,Sunday,82.0,Svetlana Proskurina,,,,,"Aug 22, 1997",450000.0,450349.0,8.0,0.0007755555555555556,Drama
2833,Dream House,,Jeff Bemiss,Uni.,9.047,6.0,670.0,"Sep 30, 2011",50000000.0,41642166.0,9.0,-0.16715668,Drama Comedy Romance Mystery Thriller
2844,Jack,82.0,Ainun Ridho,,,,,"Aug 9, 1996",45000000.0,58617334.0,8.0,0.3026074222222222,Drama Comedy
3012,Secretariat,123.0,Randall Wallace,BV,9.059,7.0,200.0,"Oct 8, 2010",35000000.0,60376247.0,10.0,0.7250356285714286,Biography Drama Family
3117,Poltergeist,93.0,Gil Kenan,,17.343,5.1,1438.0,"May 22, 2015",35000000.0,95713069.0,5.0,1.7346591142857142,Horror Thriller
3243,Kidnap,,Raja Chanda,,10.959000000000001,6.0,805.0,"Aug 4, 2017",21000000.0,34836080.0,8.0,0.6588609523809524,Thriller Drama
3255,Hit & Run,114.0,Ody C. Harahap,,7.48,5.7,312.0,"Aug 22, 2012",22000000.0,17216955.0,8.0,-0.21741113636363638,Romance Comedy Action
3363,Lovesick,4.0,Johann Buchholz,,4.775,5.0,44.0,"Feb 18, 1983",10100000.0,10143618.0,2.0,0.004318613861386138,Romance Drama Comedy
3428,Father's Day,,Quentin Lee,,3.1860000000000004,5.9,37.0,"May 9, 1997",85000000.0,35681080.0,5.0,-0.5802225882352942,Horror Comedy Action
3591,The Warrior's Way,100.0,Sngmoo Lee,Rela.,8.259,6.1,203.0,"Dec 3, 2010",42000000.0,8514325.0,12.0,-0.7972779761904762,Action Fantasy Western Thriller Adventure
3621,Geroy,,Karen Oganesyan,,,,,"Dec 31, 2015",7000000.0,1545121.0,12.0,-0.7792684285714285,Action
3636,Much Ado About Nothing,130.0,Jason L. Mitchell,,5.952000000000001,7.2,165.0,"May 7, 1993",8000000.0,22549338.0,5.0,1.81866725,Drama Comedy
3648,Nothing,75.0,Daryush Shokof,,0.6,6.0,1.0,"Dec 31, 2003",4000000.0,63180.0,12.0,-0.984205,Drama Sci-Fi
