,title,runtime,primary_name,studio,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,month,roi,genre
128913,The Perfect Game,,,IW,4.958,6.3,44.0,"Apr 16, 2010",12500000.0,3931367.0,4.0,-0.68549064,Drama Family
128920,Kites,,,Relbig.,6.058,5.8,67.0,"May 21, 2010",9200000.0,17155193.0,5.0,0.8646948913043478,Romance Drama Action
128921,Letters to God,,,Viv.,4.242,6.9,71.0,"Apr 9, 2010",3000000.0,3237452.0,4.0,0.07915066666666666,Drama Family
128923,After.Life,,,Anch.,9.395,5.7,416.0,"Apr 9, 2010",4500000.0,2481925.0,4.0,-0.4484611111111111,Mystery Horror Drama Thriller
128934,Leaves of Grass,,,First,5.996,6.0,214.0,"Apr 2, 2010",9000000.0,85527.0,4.0,-0.990497,Crime Thriller Comedy
128938,Carlos,,,IFC,6.568,7.0,87.0,"Oct 15, 2010",18000000.0,1619153.0,10.0,-0.9100470555555555,Crime Thriller Drama History
128940,The Disappearance of Alice Creed,,,Anch.,9.087,6.6,280.0,"Aug 6, 2010",1500000.0,1605139.0,8.0,0.07009266666666666,Crime Thriller Drama
128942,Enter the Void,,,IFC,9.562999999999999,7.3,773.0,"Sep 24, 2010",16000000.0,1467278.0,9.0,-0.908295125,Drama Fantasy
128945,Chain Letter,,,NFC,6.44,4.1,63.0,"Oct 1, 2010",3000000.0,1022453.0,10.0,-0.6591823333333333,Horror Thriller
128950,The Extra Man,,,Magn.,5.056,5.9,46.0,"Jul 30, 2010",7000000.0,492108.0,7.0,-0.9296988571428572,Comedy
128953,The Good Heart,,,Magn.,2.3209999999999997,6.4,30.0,"Apr 30, 2010",3800000.0,340930.0,4.0,-0.9102815789473684,Romance Drama Comedy
128970,Freakonomics,,,Magn.,5.705,6.6,57.0,"Oct 1, 2010",2900000.0,172867.0,10.0,-0.9403906896551724,Documentary
128993,Cars 2,,,BV,23.498,5.9,4058.0,"Jun 24, 2011",200000000.0,560155383.0,6.0,1.800776915,Comedy Animation Family Adventure
128996,Battle: Los Angeles,,,Sony,12.720999999999998,5.6,2049.0,"Mar 11, 2011",70000000.0,213463976.0,3.0,2.0494853714285712,Sci-Fi Action
128997,Paranormal Activity 3,,,Par.,9.669,5.9,1197.0,"Oct 21, 2011",5000000.0,207039844.0,10.0,40.4079688,Horror
129000,Happy Feet Two,,,WB,8.131,5.9,754.0,"Nov 18, 2011",135000000.0,157956466.0,11.0,0.1700478962962963,Family Animation Comedy
129001,Arthur Christmas,,,Sony,12.981,6.7,692.0,"Nov 23, 2011",85000000.0,149717124.0,11.0,0.7613779294117647,Animation Drama Family Comedy
129004,Spy Kids: All the Time in the World,,,W/Dim.,10.009,4.6,487.0,"Aug 19, 2011",27000000.0,80681183.0,8.0,1.988191962962963,Comedy Family Action
129005,Hall Pass,,,WB (NL),9.984,5.5,1009.0,"Feb 25, 2011",68000000.0,87173475.0,2.0,0.2819628676470588,Romance Comedy
129012,Winnie the Pooh,,,BV,11.147,6.9,444.0,"Jul 15, 2011",30000000.0,50145607.0,7.0,0.6715202333333333,Animation Family
129042,Fireflies in the Garden,,,,5.121,6.3,96.0,"Oct 14, 2011",8000000.0,3587191.0,10.0,-0.551601125,Drama
129101,Ice Age: Continental Drift,,,Fox,17.537,6.3,4598.0,"Jul 13, 2012",95000000.0,879765137.0,7.0,8.26068565263158,Family Animation Comedy Adventure
129103,Madagascar 3: Europe's Most Wanted,,,P/DW,18.705,6.5,3380.0,"Jun 8, 2012",145000000.0,746921271.0,6.0,4.151181179310345,Animation Family Comedy
129109,American Reunion,,,Uni.,17.199,6.2,2679.0,"Apr 6, 2012",50000000.0,236799211.0,4.0,3.73598422,Comedy
129110,21 Jump Street,,,Sony,14.835999999999999,6.8,6527.0,"Mar 16, 2012",42000000.0,202812429.0,3.0,3.8288673571428573,Crime Comedy Action
129113,Paranormal Activity 4,,,Par.,8.965,5.4,1026.0,"Oct 19, 2012",5000000.0,142817992.0,10.0,27.5635984,Horror
129114,Ghost Rider: Spirit of Vengeance,,,Sony,18.678,4.8,2039.0,"Feb 17, 2012",57000000.0,149217355.0,2.0,1.6178483333333333,Thriller Fantasy Action
129115,Cloud Atlas,,,WB,14.681,6.8,4505.0,"Oct 26, 2012",102000000.0,130673154.0,10.0,0.28110935294117645,Drama Sci-Fi
129118,ParaNorman,,,Focus,13.32,6.8,1358.0,"Aug 17, 2012",60000000.0,108119662.0,8.0,0.8019943666666667,Comedy Animation Family Adventure
129121,Act of Valor,,,Rela.,12.197000000000001,6.3,583.0,"Feb 24, 2012",12000000.0,82497035.0,2.0,5.874752916666667,War Thriller Action
129126,The Three Stooges,,,Fox,9.357999999999999,5.1,215.0,"Apr 13, 2012",30000000.0,54052249.0,4.0,0.8017416333333334,Comedy
129127,Silent Hill: Revelation 3D,,,ORF,13.681,5.2,786.0,"Oct 26, 2012",20000000.0,55975672.0,10.0,1.7987836,Mystery Horror Thriller
129137,Katy Perry: Part of Me,,,Par.,7.138999999999999,6.8,147.0,"Jul 5, 2012",12000000.0,32700439.0,7.0,1.7250365833333334,Documentary Musical
129138,Lockout,,,FD,11.273,5.9,1004.0,"Apr 13, 2012",20000000.0,33943049.0,4.0,0.69715245,Thriller Sci-Fi Action
129148,The Words,,,CBS,7.2010000000000005,6.6,628.0,"Sep 7, 2012",6000000.0,16369708.0,9.0,1.7282846666666667,Thriller Drama
129149,Silent House,,,ORF,7.079,5.2,184.0,"Mar 9, 2012",2000000.0,16610760.0,3.0,7.30538,Mystery Horror
129162,Chasing Mavericks,,,Fox,6.546,7.0,329.0,"Oct 26, 2012",20000000.0,8300821.0,10.0,-0.58495895,Drama
129165,"Jeff, Who Lives at Home",,,ParV,8.821,6.2,320.0,"Mar 16, 2012",10000000.0,4708127.0,3.0,-0.5291873,Drama Comedy
129210,Despicable Me 2,,,Uni.,19.014,6.9,7319.0,"Jul 3, 2013",76000000.0,975216835.0,7.0,11.831800460526315,Family Animation Comedy
129211,The Croods,,,Fox,16.29,6.8,3873.0,"Mar 22, 2013",135000000.0,573068425.0,3.0,3.2449512962962963,Animation Action Comedy Adventure Fantasy Family
129214,Cloudy with a Chance of Meatballs 2,,,Sony,18.335,6.4,1679.0,"Sep 27, 2013",78000000.0,274392649.0,9.0,2.517854474358974,Animation Family Comedy
129217,Jackass Presents: Bad Grandpa,,,Par.,8.823,6.0,928.0,"Oct 25, 2013",15000000.0,160903019.0,10.0,9.726867933333333,Comedy
129219,Walking with Dinosaurs,,,Fox,10.56,5.4,210.0,"Dec 20, 2013",80000000.0,123368842.0,12.0,0.542110525,Animation Family Adventure
129238,Inside Llewyn Davis,,,CBS,10.549000000000001,7.2,1400.0,"Dec 6, 2013",11000000.0,32943247.0,12.0,1.9948406363636364,Drama
129239,Movie 43,,,Rela.,12.812999999999999,4.4,1332.0,"Jan 25, 2013",10000000.0,31164747.0,1.0,2.1164747,Comedy
129240,Kevin Hart: Let Me Explain,,,LG/S,8.476,6.9,142.0,"Jul 3, 2013",2500000.0,32327255.0,7.0,11.930902,Documentary Comedy
129255,Mr. Nobody,,,Magn.,17.242,7.9,3279.0,"Nov 1, 2013",46500000.0,22254.0,11.0,-0.9995214193548387,Fantasy Romance Drama Sci-Fi
129263,All the Boys Love Mandy Lane,,,RTWC,10.03,5.5,326.0,"Oct 11, 2013",750000.0,1960521.0,10.0,1.614028,Mystery Horror Thriller
129301,Captain America: The Winter Soldier,,,BV,18.073,7.7,11034.0,"Apr 4, 2014",170000000.0,714401889.0,4.0,3.2023640529411765,Adventure Sci-Fi Action
129302,Big Hero 6,,,BV,36.92,7.8,10176.0,"Nov 7, 2014",165000000.0,652127828.0,11.0,2.952289866666667,Animation Action Comedy Adventure Family
129307,Penguins of Madagascar,,,Fox,20.899,6.4,2273.0,"Nov 26, 2014",132000000.0,366942531.0,11.0,1.779867659090909,Comedy Animation Family Adventure
129309,22 Jump Street,,,Sony,11.175999999999998,6.9,5167.0,"Jun 13, 2014",50000000.0,331333876.0,6.0,5.62667752,Crime Comedy Action
129315,Dumb and Dumber To,,,Uni.,15.964,5.5,1842.0,"Nov 14, 2014",40000000.0,156553592.0,11.0,2.9138398,Comedy
129319,The Boxtrolls,,,Focus,11.219000000000001,6.7,1016.0,"Sep 26, 2014",60000000.0,111946251.0,9.0,0.86577085,Family Animation Fantasy Comedy
129321,Heaven is for Real,,,TriS,9.718,6.2,363.0,"Apr 16, 2014",12000000.0,100916299.0,4.0,7.409691583333333,Drama
129324,John Wick,,,LG/S,78.123,7.2,10081.0,"Oct 24, 2014",30000000.0,76235001.0,10.0,1.5411667,Thriller Action
129335,Devil's Due,,,Fox,5.893,4.5,303.0,"Jan 17, 2014",7000000.0,36146087.0,1.0,4.163726714285715,Horror
129420,Minions,,,Uni.,9.338,6.4,7343.0,"Jul 10, 2015",74000000.0,1160336173.0,7.0,14.680218554054054,Comedy Animation Family Adventure
129424,The SpongeBob Movie: Sponge Out of Water,,,Par.,13.815,5.7,1165.0,"Feb 6, 2015",74000000.0,311013181.0,2.0,3.2028808243243243,Animation Comedy Adventure Fantasy Family
129428,Jupiter Ascending,,,WB,24.058000000000003,5.3,4401.0,"Feb 6, 2015",179000000.0,181982519.0,2.0,0.016662117318435754,Fantasy Sci-Fi Adventure Action
129434,Vacation,,,WB (NL),0.6,7.0,1.0,"Jul 29, 2015",31000000.0,102306500.0,7.0,2.300209677419355,Drama
129445,Still Alice,,,SPC,10.747,7.5,1946.0,"Jan 16, 2015",5000000.0,41699612.0,1.0,7.3399224,Drama
129446,The DUFF,,,LGF,9.054,6.8,2987.0,"Feb 20, 2015",8500000.0,43528634.0,2.0,4.1210157647058825,Romance Comedy
129447,The Gallows,,,WB (NL),9.166,4.8,591.0,"Jul 10, 2015",100000.0,41656474.0,7.0,415.56474,Horror Thriller
129453,Woodlawn,,,PFR,5.575,7.0,79.0,"Oct 16, 2015",13000000.0,14403703.0,10.0,0.10797715384615385,Drama
129464,Anomalisa,,,Par.,10.285,7.1,927.0,"Dec 30, 2015",8000000.0,5706168.0,12.0,-0.286729,Romance Animation Drama Comedy
129481,The D Train,,,IFC,0.6,6.0,2.0,"May 8, 2015",3000000.0,772366.0,5.0,-0.7425446666666666,Drama Family
129551,Captain America: Civil War,,,BV,39.137,7.4,14000.0,"May 6, 2016",250000000.0,1140069413.0,5.0,3.560277652,Adventure Sci-Fi Action
129552,Finding Dory,,,BV,15.392999999999999,7.0,7845.0,"Jun 17, 2016",200000000.0,1021215193.0,6.0,4.106075965,Family Animation Adventure Comedy
129553,Zootopia,,,BV,27.549,7.7,9977.0,"Mar 4, 2016",150000000.0,1019429616.0,3.0,5.79619744,Family Animation Adventure Comedy
129555,The Secret Life of Pets,,,Uni.,9.908999999999999,6.1,5374.0,"Jul 8, 2016",75000000.0,886750534.0,7.0,10.823340453333333,Animation Comedy Adventure Family
129557,Moana,,,BV,1.96,6.5,16.0,"Nov 23, 2016",150000000.0,637517365.0,11.0,3.2501157666666667,Documentary
129560,Sing,,,Uni.,17.572,6.9,4303.0,"Dec 21, 2016",75000000.0,634454789.0,12.0,7.459397186666667,Family Animation Drama Comedy
129563,Kung Fu Panda 3,,,Fox,16.248,6.7,2944.0,"Jan 29, 2016",140000000.0,517599142.0,1.0,2.6971367285714285,Animation Action Comedy Adventure Family
129564,Ice Age: Collision Course,,,Fox,18.233,5.9,2430.0,"Jul 22, 2016",105000000.0,402156682.0,7.0,2.830063638095238,Family Animation Adventure Comedy
129565,The Angry Birds Movie,,,Sony,17.998,6.0,1851.0,"May 20, 2016",73000000.0,352327887.0,5.0,3.826409410958904,Animation Adventure Comedy
129566,Trolls,,,Fox,16.285999999999998,6.6,1880.0,"Nov 4, 2016",125000000.0,344150134.0,11.0,1.753201072,Animation Comedy Adventure Musical Fantasy Family
129571,Bad Moms,,,STX,14.332,6.5,2600.0,"Jul 29, 2016",20000000.0,180998716.0,7.0,8.0499358,Comedy
